"Pieza";"Tipo";"Perfil";"Longitud_m";"Masa_kg";"Alcance"
"C-L-1";"column";"HEB300";"6.000000";"672.682";"Sólo barras; sin placas, uniones, revestimiento ni desperdicio"
"C-R-1";"column";"HEB300";"6.000000";"672.682";"Sólo barras; sin placas, uniones, revestimiento ni desperdicio"
"R-L-1";"rafter";"IPE330";"9.044888";"424.772";"Sólo barras; sin placas, uniones, revestimiento ni desperdicio"
"R-R-1";"rafter";"IPE330";"9.044888";"424.772";"Sólo barras; sin placas, uniones, revestimiento ni desperdicio"
"C-L-2";"column";"HEB300";"6.000000";"672.682";"Sólo barras; sin placas, uniones, revestimiento ni desperdicio"
"C-R-2";"column";"HEB300";"6.000000";"672.682";"Sólo barras; sin placas, uniones, revestimiento ni desperdicio"
"R-L-2";"rafter";"IPE330";"9.044888";"424.772";"Sólo barras; sin placas, uniones, revestimiento ni desperdicio"
"R-R-2";"rafter";"IPE330";"9.044888";"424.772";"Sólo barras; sin placas, uniones, revestimiento ni desperdicio"
"C-L-3";"column";"HEB300";"6.000000";"672.682";"Sólo barras; sin placas, uniones, revestimiento ni desperdicio"
"C-R-3";"column";"HEB300";"6.000000";"672.682";"Sólo barras; sin placas, uniones, revestimiento ni desperdicio"
"R-L-3";"rafter";"IPE330";"9.044888";"424.772";"Sólo barras; sin placas, uniones, revestimiento ni desperdicio"
"R-R-3";"rafter";"IPE330";"9.044888";"424.772";"Sólo barras; sin placas, uniones, revestimiento ni desperdicio"
"C-L-4";"column";"HEB300";"6.000000";"672.682";"Sólo barras; sin placas, uniones, revestimiento ni desperdicio"
"C-R-4";"column";"HEB300";"6.000000";"672.682";"Sólo barras; sin placas, uniones, revestimiento ni desperdicio"
"R-L-4";"rafter";"IPE330";"9.044888";"424.772";"Sólo barras; sin placas, uniones, revestimiento ni desperdicio"
"R-R-4";"rafter";"IPE330";"9.044888";"424.772";"Sólo barras; sin placas, uniones, revestimiento ni desperdicio"
"C-L-5";"column";"HEB300";"6.000000";"672.682";"Sólo barras; sin placas, uniones, revestimiento ni desperdicio"
"C-R-5";"column";"HEB300";"6.000000";"672.682";"Sólo barras; sin placas, uniones, revestimiento ni desperdicio"
"R-L-5";"rafter";"IPE330";"9.044888";"424.772";"Sólo barras; sin placas, uniones, revestimiento ni desperdicio"
"R-R-5";"rafter";"IPE330";"9.044888";"424.772";"Sólo barras; sin placas, uniones, revestimiento ni desperdicio"
"C-L-6";"column";"HEB300";"6.000000";"672.682";"Sólo barras; sin placas, uniones, revestimiento ni desperdicio"
"C-R-6";"column";"HEB300";"6.000000";"672.682";"Sólo barras; sin placas, uniones, revestimiento ni desperdicio"
"R-L-6";"rafter";"IPE330";"9.044888";"424.772";"Sólo barras; sin placas, uniones, revestimiento ni desperdicio"
"R-R-6";"rafter";"IPE330";"9.044888";"424.772";"Sólo barras; sin placas, uniones, revestimiento ni desperdicio"
"P-1-1";"purlin";"IPE120";"6.000000";"60.239";"Sólo barras; sin placas, uniones, revestimiento ni desperdicio"
"P-1-2";"purlin";"IPE120";"6.000000";"60.239";"Sólo barras; sin placas, uniones, revestimiento ni desperdicio"
"P-1-3";"purlin";"IPE120";"6.000000";"60.239";"Sólo barras; sin placas, uniones, revestimiento ni desperdicio"
"P-1-4";"purlin";"IPE120";"6.000000";"60.239";"Sólo barras; sin placas, uniones, revestimiento ni desperdicio"
"P-1-5";"purlin";"IPE120";"6.000000";"60.239";"Sólo barras; sin placas, uniones, revestimiento ni desperdicio"
"P-1-6";"purlin";"IPE120";"6.000000";"60.239";"Sólo barras; sin placas, uniones, revestimiento ni desperdicio"
"P-1-7";"purlin";"IPE120";"6.000000";"60.239";"Sólo barras; sin placas, uniones, revestimiento ni desperdicio"
"P-1-8";"purlin";"IPE120";"6.000000";"60.239";"Sólo barras; sin placas, uniones, revestimiento ni desperdicio"
"P-1-9";"purlin";"IPE120";"6.000000";"60.239";"Sólo barras; sin placas, uniones, revestimiento ni desperdicio"
"P-1-10";"purlin";"IPE120";"6.000000";"60.239";"Sólo barras; sin placas, uniones, revestimiento ni desperdicio"
"P-1-11";"purlin";"IPE120";"6.000000";"60.239";"Sólo barras; sin placas, uniones, revestimiento ni desperdicio"
"P-1-12";"purlin";"IPE120";"6.000000";"60.239";"Sólo barras; sin placas, uniones, revestimiento ni desperdicio"
"P-1-13";"purlin";"IPE120";"6.000000";"60.239";"Sólo barras; sin placas, uniones, revestimiento ni desperdicio"
